Stunden,Wolbecker Straße (gesamt),FR stadteinwärts,FR stadtauswärts,Temperatur (°C),Windstärke (km/h),Wetter
3/12/2016 15:00,509,221,288,6,7,wolkig
3/12/2016 16:00,468,186,282,5,13,teilweise bewölkt
3/12/2016 17:00,454,183,271,5,11,teilweise bewölkt
3/12/2016 18:00,426,168,258,4,9,teilweise bewölkt
3/12/2016 19:00,401,185,216,3,7,teilweise bewölkt
3/12/2016 20:00,281,148,133,2,7,Klarer Himmel
3/12/2016 21:00,197,98,99,1,7,wolkig
3/12/2016 22:00,226,115,111,2,7,teilweise bewölkt
3/12/2016 23:00,176,87,89,2,9,teilweise bewölkt
3/13/2016 0:00,160,67,93,2,6,wolkig
3/13/2016 1:00,137,69,68,2,7,wolkig
3/13/2016 2:00,116,56,60,3,7,wolkig
3/13/2016 3:00,62,36,26,3,6,wolkig
3/13/2016 4:00,63,43,20,3,6,wolkig
3/13/2016 5:00,42,32,10,3,9,wolkig
3/13/2016 6:00,37,17,20,3,9,wolkig
3/13/2016 7:00,47,22,25,3,13,wolkig
3/13/2016 8:00,87,50,37,4,17,wolkig
3/13/2016 9:00,145,77,68,4,13,wolkig
3/13/2016 10:00,204,117,87,4,11,wolkig
3/13/2016 11:00,190,102,88,4,13,wolkig
3/13/2016 12:00,256,123,133,5,13,wolkig
3/13/2016 13:00,298,159,139,5,24,teilweise bewölkt
3/13/2016 14:00,346,185,161,5,19,wolkig
3/13/2016 15:00,334,209,125,5,11,teilweise bewölkt
3/13/2016 16:00,338,180,158,6,13,Klarer Himmel
3/13/2016 17:00,348,151,197,6,9,Klarer Himmel
3/13/2016 18:00,316,168,148,4,6,teilweise bewölkt
3/13/2016 19:00,240,137,103,4,15,teilweise bewölkt
3/13/2016 20:00,190,96,94,2,15,teilweise bewölkt
3/13/2016 21:00,139,86,53,2,11,wolkig
3/13/2016 22:00,111,70,41,2,17,wolkig
3/13/2016 23:00,56,31,25,1,17,wolkig
3/14/2016 0:00,31,25,6,1,7,wolkig
3/14/2016 1:00,10,7,3,1,6,wolkig
3/14/2016 2:00,2,1,1,0,6,Klarer Himmel
3/14/2016 3:00,6,2,4,-1,6,Klarer Himmel
3/14/2016 4:00,11,8,3,-1,6,Klarer Himmel
3/14/2016 5:00,65,28,37,-1,7,
3/14/2016 6:00,303,142,161,-1,7,
3/14/2016 7:00,828,564,264,-1,9,
3/14/2016 8:00,750,507,243,1,7,Klarer Himmel
3/14/2016 9:00,561,392,169,3,11,Klarer Himmel
3/14/2016 10:00,459,300,159,4,13,Klarer Himmel
3/14/2016 11:00,495,288,207,6,11,Klarer Himmel
3/14/2016 12:00,525,267,258,7,15,Klarer Himmel
3/14/2016 13:00,625,311,314,8,17,Klarer Himmel
3/14/2016 14:00,602,318,284,9,17,Klarer Himmel
3/14/2016 15:00,678,315,363,9,20,Klarer Himmel
3/14/2016 16:00,874,393,481,9,20,Klarer Himmel
3/14/2016 17:00,911,412,499,8,15,Klarer Himmel
3/14/2016 18:00,749,305,444,6,13,Klarer Himmel
3/14/2016 19:00,585,234,351,5,7,Klarer Himmel
3/14/2016 20:00,332,140,192,4,2,Klarer Himmel
3/14/2016 21:00,261,127,134,3,0,Klarer Himmel
3/14/2016 22:00,177,88,89,1,2,Klarer Himmel
3/14/2016 23:00,111,59,52,1,4,Klarer Himmel
3/15/2016 0:00,47,26,21,0,2,Klarer Himmel
3/15/2016 1:00,27,12,15,1,4,Klarer Himmel
3/15/2016 2:00,8,4,4,-1,4,
3/15/2016 3:00,9,4,5,-1,2,wolkig
3/15/2016 4:00,13,10,3,-1,7,wolkig
3/15/2016 5:00,77,39,38,2,4,wolkig
3/15/2016 6:00,319,142,177,2,4,Nebel
3/15/2016 7:00,843,543,300,2,2,Regen
3/15/2016 8:00,766,527,239,4,6,Regen
3/15/2016 9:00,546,374,172,4,13,wolkig
3/15/2016 10:00,471,309,162,5,11,wolkig
3/15/2016 11:00,441,257,184,6,11,wolkig
3/15/2016 12:00,500,245,255,6,11,wolkig
3/15/2016 13:00,571,271,300,6,11,wolkig
3/15/2016 14:00,603,294,309,7,15,wolkig
3/15/2016 15:00,683,324,359,8,19,wolkig
3/15/2016 16:00,802,353,449,7,13,Regen
3/15/2016 17:00,916,413,503,7,15,wolkig
3/15/2016 18:00,847,373,474,7,17,teilweise bewölkt
3/15/2016 19:00,593,252,341,5,17,teilweise bewölkt
3/15/2016 20:00,381,147,234,5,13,teilweise bewölkt
3/15/2016 21:00,252,118,134,5,17,Klarer Himmel
3/15/2016 22:00,219,119,100,4,11,Klarer Himmel
3/15/2016 23:00,99,51,48,3,11,Klarer Himmel
3/16/2016 0:00,47,24,23,2,9,Klarer Himmel
3/16/2016 1:00,22,16,6,1,7,Klarer Himmel
3/16/2016 2:00,12,5,7,2,9,wolkig
3/16/2016 3:00,12,7,5,3,11,wolkig
3/16/2016 4:00,14,8,6,3,15,wolkig
3/16/2016 5:00,74,39,35,3,11,wolkig
3/16/2016 6:00,322,140,182,3,17,wolkig
3/16/2016 7:00,861,548,313,3,13,wolkig
3/16/2016 8:00,789,529,260,4,20,teilweise bewölkt
3/16/2016 9:00,579,422,157,5,15,teilweise bewölkt
3/16/2016 10:00,569,344,225,6,15,wolkig
3/16/2016 11:00,523,296,227,6,19,wolkig
3/16/2016 12:00,626,322,304,7,19,wolkig
3/16/2016 13:00,654,315,339,7,19,wolkig
3/16/2016 14:00,610,272,338,8,19,teilweise bewölkt
3/16/2016 15:00,650,299,351,8,22,teilweise bewölkt
3/16/2016 16:00,807,325,482,8,17,teilweise bewölkt
3/16/2016 17:00,908,441,467,8,15,teilweise bewölkt
3/16/2016 18:00,805,350,455,6,9,teilweise bewölkt
3/16/2016 19:00,625,275,350,6,6,Klarer Himmel
3/16/2016 20:00,381,177,204,6,7,Klarer Himmel
3/16/2016 21:00,276,128,148,5,7,Klarer Himmel
3/16/2016 22:00,217,107,110,4,7,Klarer Himmel
3/16/2016 23:00,185,88,97,3,4,Klarer Himmel
3/17/2016 0:00,82,42,40,2,6,Klarer Himmel
3/17/2016 1:00,41,14,27,1,2,Klarer Himmel
3/17/2016 2:00,34,16,18,2,6,Klarer Himmel
3/17/2016 3:00,25,10,15,1,7,Klarer Himmel
3/17/2016 4:00,27,15,12,0,4,Klarer Himmel
3/17/2016 5:00,71,38,33,0,6,Klarer Himmel
3/17/2016 6:00,296,128,168,0,7,Klarer Himmel
3/17/2016 7:00,797,491,306,1,6,Klarer Himmel
3/17/2016 8:00,839,592,247,4,9,Klarer Himmel
3/17/2016 9:00,594,403,191,7,13,Klarer Himmel
3/17/2016 10:00,487,326,161,9,15,Klarer Himmel
3/17/2016 11:00,462,278,184,10,17,Klarer Himmel
3/17/2016 12:00,560,295,265,10,11,Klarer Himmel
3/17/2016 13:00,683,340,343,11,15,Klarer Himmel
3/17/2016 14:00,672,324,348,11,15,Klarer Himmel
3/17/2016 15:00,800,364,436,12,11,Klarer Himmel
3/17/2016 16:00,909,426,483,12,11,Klarer Himmel
3/17/2016 17:00,976,460,516,11,11,Klarer Himmel
3/17/2016 18:00,860,348,512,8,6,Klarer Himmel
3/17/2016 19:00,639,310,329,6,2,Klarer Himmel
3/17/2016 20:00,389,182,207,3,2,Klarer Himmel
3/17/2016 21:00,273,131,142,3,2,Klarer Himmel
3/17/2016 22:00,268,123,145,1,6,Klarer Himmel
3/17/2016 23:00,155,79,76,2,2,Klarer Himmel
3/18/2016 0:00,66,32,34,1,6,
3/18/2016 1:00,44,17,27,1,6,
3/18/2016 2:00,37,9,28,1,13,Nebel
3/18/2016 3:00,8,4,4,1,11,Nebel
3/18/2016 4:00,22,8,14,1,7,wolkig
3/18/2016 5:00,77,44,33,1,13,wolkig
3/18/2016 6:00,256,122,134,1,7,wolkig
3/18/2016 7:00,743,468,275,2,11,Regen
3/18/2016 8:00,715,488,227,3,11,Regen
3/18/2016 9:00,499,351,148,4,13,wolkig
3/18/2016 10:00,423,245,178,4,13,Regen
3/18/2016 11:00,519,292,227,5,11,wolkig
3/18/2016 12:00,639,288,351,5,13,wolkig
3/18/2016 13:00,708,315,393,6,13,wolkig
3/18/2016 14:00,652,288,364,6,15,wolkig
3/18/2016 15:00,693,315,378,6,13,wolkig
3/18/2016 16:00,746,345,401,6,15,wolkig
3/18/2016 17:00,735,345,390,6,13,wolkig
3/18/2016 18:00,635,256,379,5,9,wolkig
3/18/2016 19:00,452,183,269,5,11,Regen
3/18/2016 20:00,375,180,195,5,9,wolkig
3/18/2016 21:00,248,123,125,5,6,wolkig
3/18/2016 22:00,223,103,120,5,7,wolkig
3/18/2016 23:00,184,88,96,5,7,wolkig
3/19/2016 0:00,124,57,67,5,9,wolkig
3/19/2016 1:00,114,51,63,5,6,wolkig
3/19/2016 2:00,58,30,28,5,7,wolkig
3/19/2016 3:00,41,23,18,5,9,wolkig
3/19/2016 4:00,42,31,11,5,2,wolkig
3/19/2016 5:00,59,40,19,5,6,wolkig
3/19/2016 6:00,58,32,26,5,7,wolkig
3/19/2016 7:00,113,72,41,5,7,wolkig
3/19/2016 8:00,206,130,76,5,9,wolkig
3/19/2016 9:00,348,244,104,5,9,wolkig
3/19/2016 10:00,487,323,164,5,9,wolkig
3/19/2016 11:00,589,369,220,5,9,wolkig
3/19/2016 12:00,568,294,274,5,13,wolkig
3/19/2016 13:00,567,291,276,5,7,wolkig
3/19/2016 14:00,556,229,327,6,7,wolkig
3/19/2016 15:00,525,247,278,6,9,wolkig
3/19/2016 16:00,445,182,263,7,9,wolkig
3/19/2016 17:00,435,186,249,7,7,wolkig
3/19/2016 18:00,408,174,234,6,11,wolkig
3/19/2016 19:00,343,162,181,6,9,wolkig
3/19/2016 20:00,238,110,128,6,11,wolkig
3/19/2016 21:00,182,86,96,6,11,wolkig
3/19/2016 22:00,166,84,82,5,7,wolkig
3/19/2016 23:00,129,58,71,5,7,wolkig
3/20/2016 0:00,168,64,104,5,9,wolkig
3/20/2016 1:00,171,75,96,5,11,Regen
3/20/2016 2:00,87,51,36,5,11,Regen
3/20/2016 3:00,62,31,31,4,11,Regen
3/20/2016 4:00,62,45,17,4,11,Regen
3/20/2016 5:00,43,31,12,4,9,Regen
3/20/2016 6:00,23,15,8,4,9,wolkig
3/20/2016 7:00,41,17,24,4,13,wolkig
3/20/2016 8:00,61,33,28,5,13,wolkig
3/20/2016 9:00,113,61,52,6,13,wolkig
3/20/2016 10:00,192,118,74,6,15,Regen
3/20/2016 11:00,215,117,98,7,20,wolkig
3/20/2016 12:00,273,138,135,7,19,Regen
3/20/2016 13:00,313,151,162,7,19,wolkig
3/20/2016 14:00,330,167,163,7,17,Regen
3/20/2016 15:00,334,180,154,7,17,Regen
3/20/2016 16:00,292,145,147,7,17,Regen
3/20/2016 17:00,306,159,147,7,11,wolkig
3/20/2016 18:00,268,146,122,7,13,wolkig
3/20/2016 19:00,221,91,130,7,9,wolkig
3/20/2016 20:00,176,95,81,7,9,wolkig
3/20/2016 21:00,116,67,49,7,9,wolkig
3/20/2016 22:00,116,77,39,7,9,wolkig
3/20/2016 23:00,89,63,26,6,15,wolkig
3/21/2016 0:00,31,15,16,6,13,Regen
3/21/2016 1:00,10,8,2,6,13,wolkig
3/21/2016 2:00,2,2,0,6,11,Regen
3/21/2016 3:00,5,3,2,6,13,wolkig
3/21/2016 4:00,16,7,9,6,11,wolkig
3/21/2016 5:00,62,33,29,5,9,Regen
3/21/2016 6:00,214,112,102,5,7,Regen
3/21/2016 7:00,505,328,177,6,15,Regen
3/21/2016 8:00,597,393,204,6,13,Regen
3/21/2016 9:00,457,334,123,7,19,wolkig
3/21/2016 10:00,394,258,136,7,13,wolkig
3/21/2016 11:00,429,258,171,9,19,wolkig
3/21/2016 12:00,469,245,224,9,19,wolkig
3/21/2016 13:00,475,233,242,9,20,wolkig
3/21/2016 14:00,510,247,263,8,22,wolkig
3/21/2016 15:00,598,301,297,8,24,wolkig
3/21/2016 16:00,726,290,436,8,22,wolkig
3/21/2016 17:00,796,366,430,8,20,wolkig
3/21/2016 18:00,677,285,392,7,9,wolkig
3/21/2016 19:00,487,207,280,7,20,Regen
3/21/2016 20:00,273,124,149,6,11,wolkig
3/21/2016 21:00,219,103,116,6,15,wolkig
3/21/2016 22:00,169,79,90,6,17,wolkig
3/21/2016 23:00,87,34,53,6,13,wolkig
3/22/2016 0:00,59,26,33,6,13,wolkig
3/22/2016 1:00,19,11,8,6,15,wolkig
3/22/2016 2:00,8,6,2,6,13,Regen
3/22/2016 3:00,9,5,4,5,13,wolkig
3/22/2016 4:00,9,4,5,5,15,wolkig
3/22/2016 5:00,72,36,36,5,13,wolkig
3/22/2016 6:00,237,128,109,6,11,Regen
3/22/2016 7:00,516,310,206,6,13,Regen
3/22/2016 8:00,630,454,176,6,15,wolkig
3/22/2016 9:00,481,350,131,7,13,wolkig
3/22/2016 10:00,388,237,151,8,15,wolkig
3/22/2016 11:00,434,252,182,8,17,Regen
3/22/2016 12:00,426,227,199,8,11,Regen
3/22/2016 13:00,488,261,227,8,13,Regen
3/22/2016 14:00,493,248,245,9,7,Regen
3/22/2016 15:00,518,217,301,8,9,Regen
3/22/2016 16:00,676,280,396,8,9,Regen
3/22/2016 17:00,765,346,419,8,13,Regen
3/22/2016 18:00,683,267,416,7,17,Regen
3/22/2016 19:00,551,208,343,7,11,Regen
3/22/2016 20:00,257,117,140,7,11,Regen
3/22/2016 21:00,192,91,101,7,6,Regen
3/22/2016 22:00,172,101,71,7,9,Regen
3/22/2016 23:00,106,56,50,7,13,Regen
3/23/2016 0:00,65,28,37,6,13,Regen
3/23/2016 1:00,22,14,8,7,11,wolkig
3/23/2016 2:00,16,6,10,6,9,Regen
3/23/2016 3:00,21,11,10,6,13,Regen
3/23/2016 4:00,11,6,5,6,7,Regen
3/23/2016 5:00,65,33,32,6,9,wolkig
3/23/2016 6:00,234,123,111,6,11,Regen
3/23/2016 7:00,482,304,178,6,11,wolkig
3/23/2016 8:00,647,457,190,6,11,Regen
3/23/2016 9:00,538,392,146,7,13,wolkig
3/23/2016 10:00,478,298,180,7,11,wolkig
3/23/2016 11:00,517,314,203,8,20,wolkig
3/23/2016 12:00,555,292,263,8,13,teilweise bewölkt
3/23/2016 13:00,574,288,286,8,15,wolkig
3/23/2016 14:00,534,243,291,9,20,wolkig
3/23/2016 15:00,595,272,323,9,13,wolkig
3/23/2016 16:00,685,305,380,9,19,wolkig
3/23/2016 17:00,776,341,435,8,15,
3/23/2016 18:00,684,270,414,8,11,wolkig
3/23/2016 19:00,520,236,284,7,7,wolkig
3/23/2016 20:00,339,155,184,6,13,wolkig
3/23/2016 21:00,228,102,126,5,7,teilweise bewölkt
3/23/2016 22:00,182,100,82,5,7,wolkig
3/23/2016 23:00,159,81,78,4,6,wolkig
3/24/2016 0:00,89,45,44,3,4,wolkig
3/24/2016 1:00,61,32,29,3,6,wolkig
3/24/2016 2:00,67,18,49,3,6,wolkig
3/24/2016 3:00,30,20,10,3,7,wolkig
3/24/2016 4:00,25,11,14,2,6,wolkig
3/24/2016 5:00,72,29,43,1,2,wolkig
3/24/2016 6:00,204,115,89,2,0,wolkig
3/24/2016 7:00,465,285,180,4,4,wolkig
3/24/2016 8:00,497,353,144,5,6,wolkig
3/24/2016 9:00,427,299,128,5,7,wolkig
3/24/2016 10:00,389,242,147,6,6,wolkig
3/24/2016 11:00,434,266,168,6,9,Regen
3/24/2016 12:00,477,230,247,7,9,Regen
3/24/2016 13:00,523,261,262,8,15,wolkig
3/24/2016 14:00,529,225,304,8,13,wolkig
3/24/2016 15:00,612,262,350,8,13,wolkig
3/24/2016 16:00,721,303,418,8,9,
3/24/2016 17:00,755,357,398,8,7,wolkig
3/24/2016 18:00,605,273,332,8,13,wolkig
3/24/2016 19:00,474,201,273,8,11,Regen
3/24/2016 20:00,289,127,162,8,13,Regen
3/24/2016 21:00,187,89,98,7,11,Regen
3/24/2016 22:00,173,81,92,7,11,Regen
3/24/2016 23:00,97,55,42,6,9,Regen
3/25/2016 0:00,91,44,47,6,11,Regen
3/25/2016 1:00,75,38,37,6,9,Regen
3/25/2016 2:00,34,18,16,6,9,Regen
3/25/2016 3:00,29,11,18,6,15,Regen
3/25/2016 4:00,11,7,4,6,15,Regen
3/25/2016 5:00,18,12,6,6,15,Regen
3/25/2016 6:00,28,10,18,6,17,Regen
3/25/2016 7:00,29,13,16,6,15,Regen
3/25/2016 8:00,60,26,34,7,17,Regen
3/25/2016 9:00,83,42,41,7,17,Regen
3/25/2016 10:00,92,33,59,7,17,Regen
3/25/2016 11:00,94,47,47,7,19,Regen
3/25/2016 12:00,101,46,55,8,15,Regen
3/25/2016 13:00,81,44,37,8,13,Regen
3/25/2016 14:00,137,66,71,8,13,Regen
3/25/2016 15:00,100,39,61,8,13,Regen
3/25/2016 16:00,136,73,63,8,11,wolkig
3/25/2016 17:00,153,85,68,8,9,wolkig
3/25/2016 18:00,170,90,80,8,6,wolkig
3/25/2016 19:00,145,75,70,7,6,wolkig
3/25/2016 20:00,92,39,53,6,9,wolkig
3/25/2016 21:00,81,40,41,6,9,wolkig
3/25/2016 22:00,67,35,32,7,11,wolkig
3/25/2016 23:00,54,26,28,7,17,wolkig
3/26/2016 0:00,53,31,22,7,6,wolkig
3/26/2016 1:00,32,16,16,6,7,wolkig
3/26/2016 2:00,19,9,10,6,2,wolkig
3/26/2016 3:00,11,6,5,4,2,Nebel
3/26/2016 4:00,6,4,2,3,7,Nebel
3/26/2016 5:00,20,15,5,1,6,Nebel
3/26/2016 6:00,46,23,23,3,9,Nebel
3/26/2016 7:00,101,60,41,5,7,Nebel
3/26/2016 8:00,177,113,64,7,13,teilweise bewölkt
3/26/2016 9:00,428,306,122,9,13,teilweise bewölkt
3/26/2016 10:00,606,437,169,10,19,teilweise bewölkt
3/26/2016 11:00,729,443,286,12,20,teilweise bewölkt
3/26/2016 12:00,780,417,363,13,24,teilweise bewölkt
3/26/2016 13:00,681,340,341,14,19,Klarer Himmel
3/26/2016 14:00,610,269,341,14,20,wolkig
3/26/2016 15:00,526,209,317,15,22,Klarer Himmel
3/26/2016 16:00,487,209,278,15,32,Klarer Himmel
3/26/2016 17:00,447,160,287,14,22,Klarer Himmel
3/26/2016 18:00,348,133,215,13,17,Klarer Himmel
3/26/2016 19:00,260,111,149,12,17,Klarer Himmel
3/26/2016 20:00,203,91,112,12,19,Klarer Himmel
3/26/2016 21:00,122,60,62,11,19,Klarer Himmel
3/26/2016 22:00,141,80,61,10,15,Klarer Himmel
3/26/2016 23:00,107,41,66,10,20,Klarer Himmel
3/27/2016 0:00,118,41,77,9,13,Klarer Himmel
3/27/2016 1:00,94,44,50,9,9,Klarer Himmel
3/27/2016 3:00,0,0,0,,,
3/27/2016 3:00,73,34,39,9,9,Klarer Himmel
3/27/2016 4:00,58,31,27,10,17,Klarer Himmel
3/27/2016 5:00,44,33,11,10,15,Klarer Himmel
3/27/2016 6:00,33,22,11,10,7,Regen
3/27/2016 7:00,36,17,19,9,9,wolkig
3/27/2016 8:00,39,11,28,9,28,Regen
3/27/2016 9:00,50,24,26,8,19,Regen
3/27/2016 10:00,76,40,36,8,24,Regen
3/27/2016 11:00,59,19,40,8,19,wolkig
3/27/2016 12:00,102,47,55,9,24,wolkig
3/27/2016 13:00,126,60,66,10,20,wolkig
3/27/2016 14:00,115,51,64,11,32,teilweise bewölkt
3/27/2016 15:00,176,91,85,12,28,wolkig
3/27/2016 16:00,175,89,86,12,19,Regen
3/27/2016 17:00,143,72,71,12,24,wolkig
3/27/2016 18:00,150,73,77,12,19,teilweise bewölkt
3/27/2016 19:00,156,89,67,11,13,Klarer Himmel
3/27/2016 20:00,131,71,60,10,15,Klarer Himmel
3/27/2016 21:00,111,62,49,9,19,Klarer Himmel
3/27/2016 22:00,81,48,33,9,19,Klarer Himmel
3/27/2016 23:00,66,42,24,8,15,teilweise bewölkt
3/28/2016 0:00,55,25,30,8,17,Klarer Himmel
3/28/2016 1:00,66,16,50,7,13,Klarer Himmel
3/28/2016 2:00,25,11,14,8,17,Klarer Himmel
3/28/2016 3:00,33,12,21,8,19,Klarer Himmel
3/28/2016 4:00,31,25,6,7,19,Klarer Himmel
3/28/2016 5:00,29,25,4,8,20,Klarer Himmel
3/28/2016 6:00,21,10,11,8,24,Klarer Himmel
3/28/2016 7:00,31,15,16,8,20,Klarer Himmel
3/28/2016 8:00,45,23,22,9,28,Klarer Himmel
3/28/2016 9:00,65,36,29,9,43,Regen
3/28/2016 10:00,93,47,46,10,28,Regen
3/28/2016 11:00,128,63,65,11,35,wolkig
3/28/2016 12:00,124,67,57,12,37,wolkig
3/28/2016 13:00,143,74,69,12,37,wolkig
3/28/2016 14:00,160,87,73,11,32,Regen
3/28/2016 15:00,122,62,60,9,19,wolkig
3/28/2016 16:00,164,93,71,10,15,wolkig
3/28/2016 17:00,159,108,51,10,24,teilweise bewölkt
3/28/2016 18:00,162,90,72,10,19,teilweise bewölkt
3/28/2016 19:00,177,95,82,10,19,teilweise bewölkt
3/28/2016 20:00,168,89,79,9,15,wolkig
3/28/2016 21:00,106,63,43,9,15,teilweise bewölkt
3/28/2016 22:00,84,41,43,8,17,teilweise bewölkt
3/28/2016 23:00,51,33,18,8,11,wolkig
3/29/2016 0:00,34,24,10,8,19,wolkig
3/29/2016 1:00,18,9,9,7,26,Regen
3/29/2016 2:00,13,6,7,7,15,Regen
3/29/2016 3:00,5,0,5,6,22,wolkig
3/29/2016 4:00,20,8,12,6,22,wolkig
3/29/2016 5:00,61,29,32,6,24,wolkig
3/29/2016 6:00,178,90,88,6,24,wolkig
3/29/2016 7:00,460,298,162,6,24,Regen
3/29/2016 8:00,477,320,157,7,26,wolkig
3/29/2016 9:00,383,274,109,7,24,wolkig
3/29/2016 10:00,361,220,141,7,28,wolkig
3/29/2016 11:00,423,260,163,8,28,Regen
3/29/2016 12:00,405,211,194,8,20,wolkig
3/29/2016 13:00,392,190,202,9,26,wolkig
3/29/2016 14:00,462,254,208,10,28,wolkig
3/29/2016 15:00,581,291,290,11,37,wolkig
3/29/2016 16:00,672,302,370,9,26,Regen
3/29/2016 17:00,791,364,427,10,26,wolkig
3/29/2016 18:00,683,288,395,10,26,wolkig
3/29/2016 19:00,495,210,285,9,20,teilweise bewölkt
3/29/2016 20:00,330,141,189,8,11,teilweise bewölkt
3/29/2016 21:00,187,95,92,7,7,teilweise bewölkt
3/29/2016 22:00,193,105,88,5,7,Klarer Himmel
3/29/2016 23:00,119,70,49,6,9,Klarer Himmel
3/30/2016 0:00,66,33,33,6,9,Klarer Himmel
3/30/2016 1:00,37,13,24,6,11,Klarer Himmel
3/30/2016 2:00,9,5,4,7,15,Regen
3/30/2016 3:00,11,8,3,7,17,Regen
3/30/2016 4:00,9,4,5,8,17,wolkig
3/30/2016 5:00,63,32,31,9,15,wolkig
3/30/2016 6:00,200,105,95,9,22,wolkig
3/30/2016 7:00,470,289,181,7,24,wolkig
3/30/2016 8:00,551,375,176,8,22,wolkig
3/30/2016 9:00,514,367,147,8,26,wolkig
3/30/2016 10:00,466,299,167,9,28,wolkig
3/30/2016 11:00,539,340,199,10,28,wolkig
3/30/2016 12:00,538,296,242,11,28,wolkig
3/30/2016 13:00,579,285,294,11,32,wolkig
3/30/2016 14:00,581,288,293,11,28,wolkig
3/30/2016 15:00,642,272,370,12,30,wolkig
3/30/2016 16:00,708,294,414,12,32,wolkig
3/30/2016 17:00,813,361,452,12,30,wolkig
3/30/2016 18:00,764,318,446,11,22,wolkig
3/30/2016 19:00,577,277,300,10,20,wolkig
3/30/2016 20:00,345,159,186,9,9,wolkig
3/30/2016 21:00,238,100,138,8,7,wolkig
3/30/2016 22:00,205,109,96,8,6,Klarer Himmel
3/30/2016 23:00,158,72,86,7,4,wolkig
3/31/2016 0:00,93,48,45,6,2,Klarer Himmel
3/31/2016 1:00,83,35,48,5,2,Klarer Himmel
3/31/2016 2:00,44,26,18,5,2,Klarer Himmel
3/31/2016 3:00,33,15,18,5,2,Klarer Himmel
3/31/2016 4:00,26,16,10,5,0,Klarer Himmel
3/31/2016 5:00,80,38,42,4,2,Klarer Himmel
3/31/2016 6:00,214,110,104,4,2,Klarer Himmel
3/31/2016 7:00,515,316,199,4,4,wolkig
3/31/2016 8:00,569,376,193,6,2,Klarer Himmel
3/31/2016 9:00,491,339,152,7,4,wolkig
3/31/2016 10:00,423,255,168,8,4,wolkig
3/31/2016 11:00,465,279,186,9,11,wolkig
3/31/2016 12:00,496,269,227,10,11,wolkig
3/31/2016 13:00,538,259,279,10,19,wolkig
3/31/2016 14:00,596,296,300,10,17,wolkig
3/31/2016 15:00,650,305,345,11,17,wolkig
3/31/2016 16:00,733,286,447,10,17,wolkig
3/31/2016 17:00,796,392,404,10,17,wolkig
3/31/2016 18:00,758,327,431,9,17,wolkig
3/31/2016 19:00,616,253,363,9,15,wolkig
3/31/2016 20:00,344,156,188,8,9,wolkig
3/31/2016 21:00,207,107,100,8,17,wolkig
3/31/2016 22:00,229,115,114,7,17,Klarer Himmel
3/31/2016 23:00,130,77,53,7,17,Klarer Himmel
4/1/2016 0:00,71,42,29,6,20,Klarer Himmel
4/1/2016 1:00,39,21,18,6,19,Klarer Himmel
4/1/2016 2:00,17,11,6,6,11,Klarer Himmel
4/1/2016 3:00,17,5,12,5,9,Klarer Himmel
4/1/2016 4:00,16,6,10,5,13,Klarer Himmel
4/1/2016 5:00,72,38,34,3,9,teilweise bewölkt
4/1/2016 6:00,206,104,102,2,6,Klarer Himmel
4/1/2016 7:00,476,299,177,2,4,Klarer Himmel
4/1/2016 8:00,583,404,179,5,9,Klarer Himmel
4/1/2016 9:00,457,314,143,6,9,Klarer Himmel
4/1/2016 10:00,486,318,168,8,6,Klarer Himmel
4/1/2016 11:00,531,318,213,9,6,teilweise bewölkt
4/1/2016 12:00,628,300,328,11,7,teilweise bewölkt
4/1/2016 13:00,671,329,342,12,9,teilweise bewölkt
4/1/2016 14:00,744,361,383,13,9,teilweise bewölkt
4/1/2016 15:00,691,355,336,13,9,teilweise bewölkt
4/1/2016 16:00,775,354,421,14,6,Klarer Himmel
4/1/2016 17:00,761,319,442,13,13,Klarer Himmel
4/1/2016 18:00,695,306,389,12,6,Klarer Himmel
4/1/2016 19:00,574,246,328,11,4,Klarer Himmel
4/1/2016 20:00,420,197,223,10,6,Klarer Himmel
4/1/2016 21:00,302,134,168,9,6,Klarer Himmel
4/1/2016 22:00,264,136,128,8,6,Klarer Himmel
4/1/2016 23:00,167,76,91,8,6,Klarer Himmel
4/2/2016 0:00,183,85,98,7,6,Klarer Himmel
4/2/2016 1:00,149,72,77,6,4,Klarer Himmel
4/2/2016 2:00,95,41,54,6,6,Klarer Himmel
4/2/2016 3:00,61,43,18,5,6,Klarer Himmel
4/2/2016 4:00,52,31,21,5,6,Klarer Himmel
4/2/2016 5:00,67,46,21,5,7,Klarer Himmel
4/2/2016 6:00,63,36,27,4,6,Klarer Himmel
4/2/2016 7:00,128,70,58,4,6,Klarer Himmel
4/2/2016 8:00,208,125,83,6,7,Klarer Himmel
4/2/2016 9:00,404,286,118,8,13,Klarer Himmel
4/2/2016 10:00,604,390,214,10,9,Klarer Himmel
4/2/2016 11:00,741,472,269,11,9,Klarer Himmel
4/2/2016 12:00,807,447,360,13,11,Klarer Himmel
4/2/2016 13:00,784,384,400,14,11,teilweise bewölkt
4/2/2016 14:00,757,331,426,14,13,teilweise bewölkt
4/2/2016 15:00,665,287,378,14,13,Klarer Himmel
4/2/2016 16:00,551,219,332,15,9,Klarer Himmel
4/2/2016 17:00,611,252,359,15,7,Klarer Himmel
4/2/2016 18:00,549,226,323,14,4,Klarer Himmel
4/2/2016 19:00,460,186,274,14,6,Klarer Himmel
4/2/2016 20:00,352,171,181,12,6,Klarer Himmel
